"label","new_genomes/Aameric_YS121.v1.cds.fasta","new_genomes/Abit_YS124.v1.cds.fasta","new_genomes/Cang_YS89.v1.cds.fasta","new_genomes/Ccajan.v1.cds.fasta","new_genomes/Ccin_YS129.v1.cds.fasta","new_genomes/Cens_YS85.v1.cds.fasta","new_genomes/Cmolle_YS235.v1.cds.fasta","new_genomes/Cmuc_YS125.v1.cds.fasta","new_genomes/Cros_YS43.v1.cds.fasta","new_genomes/Ctet_YS88.v1.cds.fasta","new_genomes/Duni_YS76.v1.cds.fasta","new_genomes/Eind_YS44.hap1.v1.cds.fasta","new_genomes/GmaxWm82ISU_01_724_v2.1.cds_primaryTranscriptOnly.fa","new_genomes/Gstr_YS140.v1.cds.fasta","new_genomes/HpodTM013.v1.cds.fasta","new_genomes/Isuf_YS112.v1.cds.fasta","new_genomes/Itin_YS146.v1.cds.fasta","new_genomes/Lcun_YS151.v1.cds.fasta","new_genomes/Lpur_YS149.v1.cds.fasta","new_genomes/Matro_YS75.v1.cds.fasta","new_genomes/Maxil_YS73.v1.cds.fasta","new_genomes/Mlat_YS84.v1.cds.fasta","new_genomes/Mpru_YS155.v1.cds.fasta","new_genomes/Msam_YS158.v1.cds.fasta","new_genomes/Pero_YS156.v1.cds.fasta","new_genomes/Plobssplob_YS90.hap1.v1.cds.fasta","new_genomes/Plun_YS103.v1.cds.fasta","new_genomes/Pmon_YS87.hap1.v1.cds.fasta","new_genomes/Pmonvarlob_YS172.hap1.v1.cds.fasta","new_genomes/Ptet_YS159.v1.cds.fasta","new_genomes/Rmin_YS79.v1.cds.fasta","new_genomes/Shelov_YS99.v1.cds.fasta","new_genomes/Smacrob_YS261.v1.cds.fasta","new_genomes/Tlab_YS204.v1.cds.fasta","new_genomes/Tunci_YS212.v1.cds.fasta","new_genomes/Vvexilla_YS115.hap1.v1.cds.fasta","Pvul218cds.fa","TAIR10cds.fa","Vung469cds.fa","Zmarina_668_v3.1.cds_primaryTranscriptOnly.fa"
"Zosma01g31640.1","2.865","2.778","2.953","2.829","2.854","2.911","3.214","3.262","2.915","2.831","2.944","2.915","2.939","2.920","3.338","3.162","2.818","3.241","2.929","2.961","2.770","2.961","2.915","2.903","2.823","2.907","2.925","3.353","2.961","2.829","3.303","2.955","2.911","3.239","2.920","2.945","2.928","2.230","2.963",""
"Zosma01g34960.1","2.781","2.694","2.869","2.745","2.770","2.827","3.130","3.178","2.831","2.747","2.860","2.831","2.855","2.836","3.254","3.078","2.734","3.157","2.845","2.877","2.686","2.877","2.831","2.818","2.739","2.823","2.841","3.269","2.877","2.745","3.219","2.871","2.827","3.155","2.836","2.861","2.844","2.146","2.879",""
"Zosma01g05850.1","2.613","2.527","2.701","2.577","2.603","2.659","2.963","3.010","2.663","2.579","2.692","2.663","2.688","2.669","3.087","2.910","2.566","2.990","2.677","2.709","2.518","2.709","2.663","2.651","2.571","2.655","2.674","3.101","2.709","2.577","3.051","2.703","2.660","2.987","2.668","2.693","2.677","1.978","2.711",""
"Zosma05g31540.1","2.637","2.550","2.725","2.601","2.627","2.683","2.986","3.034","2.687","2.603","2.716","2.687","2.711","2.692","3.110","2.934","2.590","3.013","2.701","2.733","2.542","2.733","2.687","2.675","2.595","2.679","2.697","3.125","2.733","2.601","3.075","2.727","2.683","3.011","2.692","2.717","2.700","0.772","2.735",""
"AT4G36180.1","2.503","2.416","2.591","2.467","2.492","2.548","2.852","2.900","2.553","2.469","2.582","2.553","2.577","2.558","2.976","2.800","2.456","2.879","2.567","2.599","2.408","2.599","2.553","2.540","2.460","2.545","2.563","2.991","2.599","2.467","2.941","2.593","2.549","2.877","2.558","2.582","2.566","","2.600","0.772"
"AT4G13810.2","2.472","2.385","2.560","2.436","2.461","2.518","2.821","2.869","2.522","2.438","2.551","2.522","2.546","2.527","2.945","2.769","2.425","2.848","2.536","2.568","2.377","2.568","2.522","2.509","2.430","2.514","2.532","2.960","2.568","2.436","2.910","2.562","2.518","2.846","2.527","2.551","2.535","","2.570","2.505"
"AT4G13920.1","2.467","2.380","2.555","2.431","2.456","2.512","2.816","2.864","2.517","2.433","2.545","2.517","2.541","2.522","2.940","2.764","2.420","2.843","2.531","2.563","2.372","2.562","2.517","2.504","2.424","2.509","2.527","2.955","2.563","2.431","2.905","2.557","2.513","2.841","2.522","2.546","2.530","","2.564","2.499"
"AT2G33060.1","2.612","2.526","2.700","2.576","2.602","2.658","2.962","3.009","2.662","2.578","2.691","2.662","2.687","2.668","3.086","2.909","2.565","2.989","2.676","2.708","2.517","2.708","2.662","2.650","2.570","2.654","2.673","3.100","2.708","2.576","3.050","2.702","2.659","2.986","2.667","2.692","2.676","","2.710","2.645"
"AT3G11010.5","2.413","2.327","2.501","2.377","2.403","2.459","2.763","2.810","2.463","2.379","2.492","2.463","2.488","2.469","2.886","2.710","2.366","2.789","2.477","2.509","2.318","2.509","2.463","2.451","2.371","2.455","2.474","2.901","2.509","2.377","2.851","2.503","2.460","2.787","2.468","2.493","2.476","","2.511","2.446"
"AT3G11010.3","2.413","2.327","2.501","2.377","2.403","2.459","2.763","2.810","2.463","2.379","2.492","2.463","2.488","2.469","2.886","2.710","2.366","2.789","2.477","2.509","2.318","2.509","2.463","2.451","2.371","2.455","2.474","2.901","2.509","2.377","2.851","2.503","2.460","2.787","2.468","2.493","2.476","","2.511","2.446"
"AT5G25910.1","2.792","2.706","2.881","2.757","2.782","2.838","3.142","3.190","2.842","2.759","2.871","2.842","2.867","2.848","3.266","3.090","2.746","3.169","2.856","2.889","2.698","2.888","2.842","2.830","2.750","2.835","2.853","3.281","2.889","2.756","3.231","2.883","2.839","3.166","2.847","2.872","2.856","","2.890","2.825"
"AT1G71390.1","2.555","2.469","2.643","2.519","2.545","2.601","2.905","2.952","2.605","2.521","2.634","2.605","2.630","2.610","3.028","2.852","2.508","2.931","2.619","2.651","2.460","2.651","2.605","2.593","2.513","2.597","2.616","3.043","2.651","2.519","2.993","2.645","2.602","2.929","2.610","2.635","2.618","","2.653","2.588"
"AT1G71400.1","2.553","2.467","2.641","2.517","2.543","2.599","2.903","2.950","2.603","2.519","2.632","2.603","2.627","2.608","3.026","2.850","2.506","2.929","2.617","2.649","2.458","2.649","2.603","2.591","2.511","2.595","2.614","3.041","2.649","2.517","2.991","2.643","2.599","2.927","2.608","2.633","2.616","","2.651","2.586"
"AT3G05370.1","2.541","2.454","2.629","2.505","2.530","2.586","2.890","2.938","2.591","2.507","2.619","2.591","2.615","2.596","3.014","2.838","2.494","2.917","2.605","2.637","2.446","2.637","2.591","2.578","2.498","2.583","2.601","3.029","2.637","2.505","2.979","2.631","2.587","2.915","2.596","2.620","2.604","","2.638","2.574"
"AT3G23110.1","2.489","2.402","2.577","2.453","2.478","2.534","2.838","2.886","2.539","2.455","2.567","2.539","2.563","2.544","2.962","2.786","2.442","2.865","2.553","2.585","2.394","2.585","2.539","2.526","2.446","2.531","2.549","2.977","2.585","2.453","2.927","2.579","2.535","2.863","2.544","2.568","2.552","","2.586","2.521"
"AT2G25470.1","2.656","2.570","2.745","2.621","2.646","2.702","3.006","3.054","2.706","2.623","2.735","2.706","2.731","2.712","3.130","2.954","2.610","3.033","2.720","2.753","2.562","2.752","2.706","2.694","2.614","2.699","2.717","3.145","2.753","2.620","3.095","2.747","2.703","3.030","2.711","2.736","2.720","","2.754","2.689"
"AT4G04220.1","2.449","2.362","2.537","2.413","2.438","2.494","2.798","2.846","2.499","2.415","2.527","2.499","2.523","2.504","2.922","2.746","2.402","2.825","2.513","2.545","2.354","2.544","2.498","2.486","2.406","2.491","2.509","2.937","2.545","2.413","2.887","2.539","2.495","2.823","2.504","2.528","2.512","","2.546","2.481"
"Zosma04g27010.1","3.298","3.212","3.387","3.262","3.288","3.344","3.648","3.695","3.348","3.265","3.377","3.348","3.373","3.354","3.772","3.595","3.251","3.675","3.362","3.394","3.203","3.394","3.348","3.336","3.256","3.340","3.359","3.786","3.394","3.262","3.737","3.388","3.345","3.672","3.353","3.378","3.362","3.460","3.396",""
"Zosma04g14440.1","2.119","2.032","2.207","2.083","2.108","2.164","2.468","2.516","2.169","2.085","2.197","2.169","2.193","2.174","2.592","2.416","2.072","2.495","2.183","2.215","2.024","2.215","2.169","2.156","2.076","2.161","2.179","2.607","2.215","2.083","2.557","2.209","2.165","2.493","2.174","2.198","2.182","2.281","2.216",""
"Plun_YS103.v1.contig_1385_pilon.g098570.t1","1.976","1.756","2.064","1.940","1.832","2.021","2.325","2.373","2.026","1.942","2.054","2.026","2.050","2.031","2.449","2.273","1.929","2.352","0.002","2.072","0.511","2.071","2.025","0.427","1.800","2.018","","2.464","2.072","0.427","2.414","2.066","0.294","2.350","2.031","0.558","2.039","2.004","0.251","2.294"
"Lpur_YS149.v1.contig_12_pilon.g056960.t1","1.978","1.758","2.066","1.942","1.834","2.023","2.327","2.375","2.028","1.944","2.056","2.028","2.052","2.033","2.451","2.275","1.931","2.354","","2.074","0.513","2.074","2.028","0.429","1.802","2.020","0.002","2.466","2.074","0.429","2.416","2.068","0.296","2.352","2.033","0.560","2.041","2.006","0.253","2.296"
"Vigun07g049200.1","2.024","1.804","2.112","1.988","1.880","2.070","2.374","2.421","2.074","1.990","2.103","2.074","2.098","2.079","2.497","2.321","1.977","2.400","0.253","2.120","0.559","2.120","2.074","0.475","1.848","2.066","0.251","2.512","2.120","0.475","2.462","2.114","0.342","2.398","2.079","0.606","2.087","2.053","","2.342"
"Smacrob_YS261.v1.contig_3957_pilon.g149570.t1","1.892","1.672","1.980","1.856","1.748","1.937","2.241","2.289","1.942","1.858","1.970","1.942","1.966","1.947","2.365","2.189","1.845","2.268","0.296","1.988","0.427","1.987","1.942","0.343","1.716","1.934","0.294","2.380","1.988","0.343","2.330","1.982","","2.266","1.947","0.474","1.955","1.920","0.342","2.210"
"Ptet_YS159.v1.contig_780_pilon.g243040.t1","1.926","1.706","2.014","1.890","1.782","1.972","2.276","2.323","1.976","1.892","2.005","1.976","2.000","1.981","2.399","2.223","1.879","2.302","0.429","2.022","0.461","2.022","1.976","0.000","1.750","1.968","0.427","2.414","2.022","","2.364","2.016","0.343","2.300","1.981","0.508","1.989","1.955","0.475","2.244"
"Msam_YS158.v1.contig_164.g051950.t1","1.926","1.706","2.014","1.890","1.782","1.972","2.276","2.323","1.976","1.892","2.005","1.976","2.000","1.981","2.399","2.223","1.879","2.302","0.429","2.022","0.461","2.022","1.976","","1.750","1.968","0.427","2.414","2.022","0.000","2.364","2.016","0.343","2.300","1.981","0.508","1.989","1.955","0.475","2.244"
"Vvexilla_YS115.hap1.v1.h1tg000015l.g234460.t1","1.884","1.664","1.972","1.848","1.740","1.930","2.234","2.281","1.934","1.850","1.963","1.934","1.959","1.939","2.357","2.181","1.837","2.260","0.564","1.980","0.301","1.980","1.934","0.512","1.709","1.926","0.562","2.372","1.980","0.402","2.322","1.974","0.478","2.258","1.939","","1.947","1.913","0.610","2.202"
"Vvexilla_YS115.hap1.v1.h1tg000015l.g234470.t1","1.880","1.660","1.968","1.844","1.736","1.926","2.230","2.277","1.930","1.846","1.959","1.930","1.955","1.935","2.353","2.177","1.833","2.256","0.560","1.976","0.297","1.976","1.930","0.508","1.705","1.922","0.558","2.368","1.976","0.398","2.318","1.970","0.474","2.254","1.935","","1.943","1.909","0.606","2.198"
"Maxil_YS73.v1.contig_322_pilon.g232130.t1","1.833","1.613","1.921","1.797","1.689","1.879","2.183","2.230","1.883","1.799","1.912","1.883","1.908","1.889","2.306","2.130","1.786","2.209","0.513","1.929","","1.929","1.883","0.461","1.658","1.875","0.511","2.321","1.929","0.351","2.271","1.923","0.427","2.207","1.888","0.297","1.896","1.862","0.559","2.151"
"Ptet_YS159.v1.contig_530_pilon.g227280.t1","1.770","1.550","1.858","1.734","1.626","1.815","2.119","2.167","1.820","1.736","1.848","1.820","1.844","1.825","2.243","2.067","1.723","2.146","0.501","1.866","0.356","1.865","1.819","0.449","1.594","1.812","0.498","2.258","1.866","","2.208","1.860","0.414","2.144","1.825","0.403","1.833","1.798","0.547","2.088"
"Ptet_YS159.v1.contig_530_pilon.g227270.t1","1.764","1.545","1.853","1.728","1.621","1.810","2.114","2.161","1.814","1.731","1.843","1.814","1.839","1.820","2.238","2.061","1.717","2.141","0.495","1.860","0.351","1.860","1.814","0.444","1.589","1.806","0.493","2.252","1.860","","2.202","1.854","0.409","2.138","1.819","0.398","1.828","1.793","0.542","2.083"
"Maxil_YS73.v1.contig_153_pilon.g029160.t1","1.909","1.689","1.997","1.873","1.765","1.955","2.259","2.306","1.959","1.875","1.988","1.959","1.983","1.964","2.382","2.206","1.862","2.285","1.402","2.005","","2.005","1.959","1.351","1.733","1.951","1.400","2.397","2.005","1.189","2.347","1.999","1.316","2.283","1.964","1.305","1.972","1.938","1.449","2.227"
"Ccin_YS129.v1.contig_418_pilon.g070980.t1","1.790","0.040","1.878","1.754","","1.836","2.140","2.187","1.840","1.756","1.869","1.840","1.864","1.845","2.263","2.087","1.743","2.166","1.834","1.886","0.938","1.886","1.840","0.302","0.287","1.832","1.832","2.278","1.886","0.289","2.228","1.880","1.748","2.164","1.845","1.736","1.853","1.638","1.880","2.108"
"Abit_YS124.v1.contig_691_pilon.g203200.t1","1.792","","1.881","1.756","0.040","1.838","2.142","2.190","1.842","1.759","1.871","1.842","1.867","1.848","2.266","2.090","1.746","2.169","1.837","1.889","0.940","1.888","1.842","0.304","0.290","1.835","1.834","2.281","1.889","0.291","2.231","1.883","1.750","2.166","1.847","1.739","1.856","1.640","1.883","2.111"
"Ptet_YS159.v1.contig_367_pilon.g091370.t1","1.825","0.291","1.913","1.789","0.289","1.871","2.175","2.222","1.875","1.791","1.904","1.875","1.900","1.881","2.298","2.122","1.778","2.201","1.869","1.921","0.973","1.921","1.875","0.013","0.322","1.867","1.867","2.313","1.921","","2.263","1.915","1.783","2.199","1.880","1.772","1.888","1.673","1.916","2.143"
"Msam_YS158.v1.contig_935.g232170.t1","1.838","0.304","1.926","1.802","0.302","1.884","2.188","2.235","1.888","1.804","1.917","1.888","1.912","1.893","2.311","2.135","1.791","2.214","1.882","1.934","0.986","1.934","1.888","","0.335","1.880","1.880","2.326","1.934","0.013","2.276","1.928","1.796","2.212","1.893","1.784","1.901","1.686","1.928","2.156"
"Pero_YS156.v1.contig_1131_pilon.g086590.t1","1.758","0.290","1.846","1.722","0.287","1.804","2.108","2.155","1.808","1.724","1.837","1.808","1.833","1.814","2.231","2.055","1.711","2.134","1.802","1.854","0.906","1.854","1.808","0.335","","1.800","1.800","2.246","1.854","0.322","2.196","1.848","1.716","2.132","1.813","1.705","1.821","1.606","1.848","2.076"
"Maxil_YS73.v1.contig_153_pilon.g038680.t1","1.705","0.176","1.794","1.670","0.938","1.751","2.055","2.103","1.756","1.672","1.784","1.756","1.780","1.761","2.179","2.003","1.659","2.082","1.750","1.802","","1.801","1.755","0.986","0.906","1.748","1.747","2.194","1.802","0.973","2.144","1.796","1.664","2.079","1.760","1.652","1.769","1.553","1.796","2.024"
"Abit_YS124.v1.contig_54_pilon.g103380.t1","1.714","","1.802","1.678","0.946","1.760","2.063","2.111","1.764","1.680","1.793","1.764","1.788","1.769","2.187","2.011","1.667","2.090","1.758","1.810","0.176","1.810","1.764","0.994","0.914","1.756","1.756","2.202","1.810","0.981","2.152","1.804","1.672","2.088","1.769","1.660","1.777","1.562","1.804","2.032"
"AT2G34930.1","1.962","1.562","2.051","1.926","1.638","2.008","2.312","2.359","2.012","1.929","2.041","2.012","2.037","2.018","2.436","2.259","1.915","2.339","2.006","2.058","1.553","2.058","2.012","1.686","1.606","2.004","2.004","2.450","2.058","1.673","2.400","2.052","1.920","2.336","2.017","1.909","2.026","","2.053","2.281"
"Ctet_YS88.v1.contig_191_pilon.g089050.t1","1.633","1.680","1.721","0.002","1.756","1.679","1.983","2.030","1.683","","1.712","1.683","1.708","1.689","2.107","1.930","0.294","2.010","1.697","1.729","1.672","1.729","1.683","1.722","1.683","1.675","1.694","2.121","1.729","1.721","2.071","1.723","1.680","2.007","1.688","1.732","1.697","1.929","1.731","2.085"
"Ccajan.v1.contig_1542_pilon.g127430.t1","1.631","1.678","1.719","","1.754","1.677","1.981","2.028","1.681","0.002","1.710","1.681","1.706","1.687","2.104","1.928","0.292","2.007","1.695","1.727","1.670","1.727","1.681","1.720","1.680","1.673","1.692","2.119","1.727","1.719","2.069","1.721","1.678","2.005","1.686","1.730","1.694","1.926","1.729","2.083"
"Itin_YS146.v1.contig_8_pilon.g260990.t1","1.620","1.667","1.708","0.292","1.743","1.666","1.970","2.017","1.670","0.294","1.699","1.670","1.695","1.676","2.093","1.917","","1.996","1.684","1.716","1.659","1.716","1.670","1.709","1.669","1.662","1.681","2.108","1.716","1.708","2.058","1.710","1.667","1.994","1.675","1.719","1.683","1.915","1.718","2.072"
"Plun_YS103.v1.contig_380_pilon.g170280.t1","0.813","0.592","1.900","0.754","0.611","1.857","2.161","2.209","1.862","0.751","1.891","1.862","1.886","1.867","2.285","2.109","1.816","2.188","0.019","0.523","0.501","0.447","1.862","0.574","0.595","1.854","","2.300","1.908","1.900","2.250","1.902","1.858","2.186","1.867","0.358","1.875","2.158","0.384","2.314"
"Lpur_YS149.v1.contig_1025_pilon.g000050.t1","0.806","0.586","1.894","0.748","0.605","1.851","2.155","2.202","1.855","0.745","1.884","1.855","1.880","1.861","2.279","2.102","1.809","2.182","","0.517","0.495","0.441","1.855","0.568","0.588","1.847","0.019","2.294","1.902","1.893","2.244","1.895","1.852","2.179","1.860","0.352","1.869","2.151","0.378","2.308"
"Plun_YS103.v1.contig_380_pilon.g170240.t1","0.826","0.605","1.913","0.768","0.624","1.871","2.175","2.222","1.875","0.764","1.904","1.875","1.900","1.881","2.298","2.122","1.829","2.201","0.085","0.536","0.514","0.461","1.875","0.588","0.608","1.867","","2.313","1.921","1.913","2.263","1.915","1.872","2.199","1.880","0.372","1.888","2.171","0.397","2.327"
"Vvexilla_YS115.hap1.v1.h1tg000008l.g148970.t1","0.782","0.561","1.869","0.724","0.580","1.827","2.131","2.178","1.831","0.720","1.860","1.831","1.855","1.836","2.254","2.078","1.785","2.157","0.352","0.492","0.470","0.416","1.831","0.543","0.564","1.823","0.358","2.269","1.877","1.869","2.219","1.871","1.827","2.155","1.836","","1.844","2.127","0.238","2.283"
"Vigun04g155500.1","0.808","0.587","1.895","0.749","0.606","1.852","2.156","2.204","1.857","0.746","1.886","1.857","1.881","1.862","2.280","2.104","1.811","2.183","0.378","0.518","0.496","0.442","1.857","0.569","0.590","1.849","0.384","2.295","1.903","1.895","2.245","1.897","1.853","2.181","1.862","0.238","1.870","2.153","","2.309"
"Mlat_YS84.v1.contig_89_pilon.g245920.t1","0.819","0.598","1.906","0.760","0.617","1.863","2.167","2.215","1.868","0.757","1.896","1.868","1.892","1.873","2.291","2.115","1.821","2.194","0.275","0.487","0.507","","1.867","0.580","0.600","1.860","0.447","2.306","1.914","1.905","2.256","1.908","1.864","2.191","1.873","0.416","1.881","2.163","0.442","2.320"
"Lpur_YS149.v1.contig_1025_pilon.g000040.t1","0.771","0.550","1.858","0.713","0.569","1.816","2.119","2.167","1.820","0.709","1.849","1.820","1.844","1.825","2.243","2.067","1.774","2.146","","0.439","0.459","0.275","1.820","0.532","0.553","1.812","0.400","2.258","1.866","1.858","2.208","1.860","1.816","2.144","1.825","0.369","1.833","2.116","0.395","2.272"
"Mlat_YS84.v1.contig_89_pilon.g245960.t1","0.903","0.682","1.990","0.844","0.701","1.947","2.251","2.299","1.952","0.841","1.980","1.952","1.976","1.957","2.375","2.199","1.905","2.278","0.448","0.086","0.591","","1.951","0.664","0.684","1.944","0.531","2.390","1.998","1.989","2.340","1.992","1.948","2.276","1.957","0.500","1.965","2.248","0.526","2.404"
"Matro_YS75.v1.contig_63_pilon.g252590.t1","0.894","0.674","1.982","0.836","0.693","1.939","2.243","2.291","1.943","0.833","1.972","1.943","1.968","1.949","2.367","2.191","1.897","2.270","0.439","","0.583","0.086","1.943","0.656","0.676","1.935","0.523","2.382","1.990","1.981","2.332","1.984","1.940","2.267","1.948","0.492","1.957","2.239","0.518","2.396"
"Maxil_YS73.v1.contig_253_pilon.g200120.t1","0.790","0.569","1.877","0.731","0.588","1.834","2.138","2.186","1.839","0.728","1.868","1.839","1.863","1.844","2.262","2.086","1.793","2.165","0.459","0.583","","0.507","1.839","0.551","0.572","1.831","0.487","2.277","1.885","1.877","2.227","1.879","1.835","2.163","1.844","0.470","1.852","2.135","0.496","2.291"
"Plun_YS103.v1.contig_380_pilon.g170290.t1","0.737","0.516","1.824","0.679","0.536","1.782","2.086","2.133","1.786","0.675","1.815","1.786","1.811","1.792","2.210","2.033","1.740","2.113","0.000","0.591","0.487","0.515","1.786","0.499","0.519","1.778","","2.224","1.832","1.824","2.174","1.826","1.783","2.110","1.791","0.479","1.800","2.082","0.505","2.239"
"Lpur_YS149.v1.contig_1025_pilon.g000060.t1","0.737","0.516","1.824","0.679","0.536","1.782","2.086","2.133","1.786","0.675","1.815","1.786","1.811","1.792","2.210","2.033","1.740","2.113","","0.591","0.487","0.515","1.786","0.499","0.519","1.778","0.000","2.224","1.832","1.824","2.174","1.826","1.783","2.110","1.791","0.479","1.800","2.082","0.505","2.239"
"Abit_YS124.v1.contig_845_pilon.g245190.t1","0.746","","1.833","0.688","0.244","1.791","2.095","2.142","1.795","0.684","1.824","1.795","1.820","1.800","2.218","2.042","1.749","2.121","0.528","0.685","0.580","0.609","1.795","0.444","0.407","1.787","0.528","2.233","1.841","1.833","2.183","1.835","1.792","2.119","1.800","0.573","1.808","2.091","0.598","2.247"
"Abit_YS124.v1.contig_845_pilon.g245210.t1","0.735","","1.822","0.676","0.233","1.779","2.083","2.131","1.784","0.673","1.812","1.784","1.808","1.789","2.207","2.031","1.737","2.110","0.516","0.674","0.569","0.598","1.783","0.432","0.396","1.776","0.516","2.222","1.830","1.821","2.172","1.824","1.780","2.108","1.789","0.561","1.797","2.080","0.587","2.236"
"Ccin_YS129.v1.contig_1010_pilon.g007520.t1","0.754","0.233","1.841","0.695","","1.798","2.102","2.150","1.803","0.692","1.832","1.803","1.827","1.808","2.226","2.050","1.757","2.129","0.536","0.693","0.588","0.617","1.803","0.452","0.415","1.795","0.536","2.241","1.849","1.841","2.191","1.843","1.799","2.127","1.808","0.580","1.816","2.099","0.606","2.255"
